hs8,hs8_description,chapter,chapter_description,heading,heading_description,hs5,hs5_description,hs6,hs6_description,hs7,hs7_description
01012100,Pure-bred breeding animals,01,LIVE ANIMALS,0101,"LIVE HORSES, ASSES, MULES AND HINNIES:",01012,Horses:,010121,Pure-bred breeding animals,,
01012900,Other,01,LIVE ANIMALS,0101,"LIVE HORSES, ASSES, MULES AND HINNIES:",01012,Horses:,010129,Other,,
01013000,Asses,01,LIVE ANIMALS,0101,"LIVE HORSES, ASSES, MULES AND HINNIES:",,,010130,Asses,,
01019040,Other,01,LIVE ANIMALS,0101,"LIVE HORSES, ASSES, MULES AND HINNIES:",,,010190,Other,,
01022114,Beef,01,LIVE ANIMALS,0102,LIVE BOVINE ANIMALS:,01022,Cattle:,010221,Pure-bred breeding animals:,,
01022117,Dairy,01,LIVE ANIMALS,0102,LIVE BOVINE ANIMALS:,01022,Cattle:,010221,Pure-bred breeding animals:,,
01022924,Beef,01,LIVE ANIMALS,0102,LIVE BOVINE ANIMALS:,01022,Cattle:,010229,Other:,,
01022927,Dairy,01,LIVE ANIMALS,0102,LIVE BOVINE ANIMALS:,01022,Cattle:,010229,Other:,,
01023100,Pure-bred breeding animals,01,LIVE ANIMALS,0102,LIVE BOVINE ANIMALS:,01023,Buffalo:,010231,Pure-bred breeding animals,,
01023900,Other,01,LIVE ANIMALS,0102,LIVE BOVINE ANIMALS:,01023,Buffalo:,010239,Other,,
01029093,Other,01,LIVE ANIMALS,0102,LIVE BOVINE ANIMALS:,,,010290,Other,,
01031000,Pure-bred breeding animals,01,LIVE ANIMALS,0103,LIVE SWINE:,,,010310,Pure-bred breeding animals,,
01039100,Weighing less than 50 kg,01,LIVE ANIMALS,0103,LIVE SWINE:,01039,Other:,010391,Weighing less than 50 kg,,
01039200,Weighing 50 kg or more,01,LIVE ANIMALS,0103,LIVE SWINE:,01039,Other:,010392,Weighing 50 kg or more,,
01041013,Sheep,01,LIVE ANIMALS,0104,LIVE SHEEP AND GOATS:,,,010410,Sheep,,
01042000,Goats,01,LIVE ANIMALS,0104,LIVE SHEEP AND GOATS:,,,010420,Goats,,
01051100,Fowls of the species Gallus domesticus,01,LIVE ANIMALS,0105,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS:",01051,Weighing not more than 185 g:,010511,Fowls of the species Gallus domesticus,,
01051200,Turkeys,01,LIVE ANIMALS,0105,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS:",01051,Weighing not more than 185 g:,010512,Turkeys,,
01051300,Ducks,01,LIVE ANIMALS,0105,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS:",01051,Weighing not more than 185 g:,010513,Ducks,,
01051400,Geese,01,LIVE ANIMALS,0105,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS:",01051,Weighing not more than 185 g:,010514,Geese,,
01051500,Guinea Fowls,01,LIVE ANIMALS,0105,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS:",01051,Weighing not more than 185 g:,010515,Guinea Fowls,,
